No,No_Ruas,"Nama_Ruas_Jalan","Kec_Yang_Dilalui",Panjang_Ruas(Km),Lebar_Ruas(m),Aspal,Beton,Kerikil,Tanah,Baik(%),Baik(Km),Sedang(%),Sedang(Km),Rusak_Ringan(%),Rusak_Ringan(Km),Rusak_Berat(%),Rusak_Berat(Km)
1,34_001K,"JL.Gunung_Kinibalu_1_(Samarinda)"","Samarinda",0.12,9,0.12,0.00,0.00,0.00,83.33,0.10,16.67,0.02,0.00,0.00,0.00,0.00
2,34_002K,"JL. JENDERAL SUDIRMAN II (SAMARINDA)","Samarinda",0.27,11,0.27,0.00,0.00,0.00,0.00,0.00,100.00,0.27,0.00,0.00,0.00,0.00
3,34_003K,"JL. AWANG LONG I (SAMARINDA)","Samarinda",0.44,11,0.44,0.00,0.00,0.00,100.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00
4,34_004K,"JL. TENGKAWANG (SAMARINDA)","Samarinda",0.58,8,0.58,0.00,0.00,0.00,100.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00
5,34_005K,"JL. PANGERAN SURYANATA ( SAMARINDA )","Samarinda",9.16,"8-14",4.75,4.41,0.00,0.00,32.04,2.94,63.59,5.83,4.37,0.40,0.00,0.00
6,34_006K,"JL. MT. HARYONO (SAMARINDA)","Samarinda",2.57,"7.5-12.5",2.27,0.30,0.00,0.00,41.63,1.07,58.37,1.50,0.00,0.00,0.00,0.00
7,34_007K,"JL. TEUKU UMAR (SAMARINDA)","Samarinda",3.96,"8-14.5",0.07,3.89,0.00,0.00,6.06,0.24,93.94,3.72,0.00,0.00,0.00,0.00
8,34_008K,"JL. UNTUNG SUROPATI (SAMARINDA)","Samarinda",1.46,"11-20",0.30,1.16,0.00,0.00,0.00,0.00,100.00,1.46,0.00,0.00,0.00,0.00
9,34_009K,"JL. KH. MAS MANSYUR (SAMARINDA)","Samarinda",2.93,"7-10",0.00,2.93,0.00,0.00,0.00,0.00,100.00,2.93,0.00,0.00,0.00,0.00
10,34_010K,"JL. K.H HASYIM ASHARI (SAMARINDA)","Samarinda",0.47,7,0.00,0.47,0.00,0.00,0.00,0.00,100.00,0.47,0.00,0.00,0.00,0.00
11,34_011K,"JL. TERATAI (SAMARINDA)","Samarinda",0.65,"7-10",0.00,0.65,0.00,0.00,0.00,0.00,100.00,0.65,0.00,0.00,0.00,0.00
12,34_012K,"JL. TELUK AMBULUNG (SAMARINDA)","Samarinda",0.42,8,0.00,0.42,0.00,0.00,0.00,0.00,76.19,0.32,23.81,0.10,0.00,0.00
13,34_013K,"JL. HARTATI (SAMARINDA)","Samarinda",0.70,8,0.00,0.70,0.00,0.00,0.00,0.00,100.00,0.70,0.00,0.00,0.00,0.00
14,34_014K,"JL. JEMBATAN MAHAKAM ULU","Samarinda",1.47,"7-17",1.47,0.00,0.00,0.00,0.00,0.00,100.00,1.47,0.00,0.00,0.00,0.00
15,34_015,"JL. STADION PALARAN","Samarinda",1.68,"14-20",1.68,0.00,0.00,0.00,100.00,1.68,0.00,0.00,0.00,0.00,0.00,0.00
16,34_016,"JL. LINGKAR STADION PALARAN","Samarinda",3.38,20,0.00,3.38,0.00,0.00,73.37,2.48,0.00,0.00,0.00,0.00,26.63,0.90
17,34_017,"JL. SIMPANG PASIR (SAMARINDA)","Samarinda",4.87,7,0.00,4.87,0.00,0.00,12.32,0.60,62.01,3.02,25.67,1.25,0.00,0.00
18,34_018,"JL. APT. PRANOTO (SAMARINDA)","Samarinda",1.90,18,1.67,0.23,0.00,0.00,10.53,0.20,89.47,1.70,0.00,0.00,0.00,0.00
19,34_019,"JL. CIPTO MANGUN KUSUMO (SAMARINDA)","Samarinda",9.53,"6-23",8.85,0.68,0.00,0.00,0.00,0.00,100.00,9.53,0.00,0.00,0.00,0.00,
20,34_020K,"JL. MOEIS HASAN (SAMARINDA)","Samarinda",2.36,19,0.00,2.36,0.00,0.00,0.00,0.00,100.00,2.36,0.00,0.00,0.00,0.00
